"ice.year","date","month","week","jday","mean.ice.conc","n"
1975,"1975-03-27",3,13,86,0.961841176789882,18423
1975,"1975-04-03",4,14,93,1.56679151061174,18423
1975,"1975-04-10",4,15,100,1.23629356204538,18422
1975,"1975-04-17",4,16,107,0,18423
1975,"1975-04-24",4,17,114,0,18423
1976,"1975-12-23",12,51,357,1.97676943117673,18424
1976,"1975-12-30",12,52,364,1.09430991421436,18418
1976,"1976-01-06",1,1,6,6.7442996742671,18420
1976,"1976-01-13",1,2,13,3.54991043803941,18423
1976,"1976-01-20",1,3,20,4.95141678427967,18422
1976,"1976-01-27",1,4,27,13.7700825010855,18424
1976,"1976-02-03",2,5,34,18.0845230986374,18421
1976,"1976-02-10",2,6,41,11.4609120521173,18420
1976,"1976-02-17",2,7,48,7.58712409076105,18422
1976,"1976-02-24",2,8,55,4.21484014547034,18423
1976,"1976-03-02",3,9,62,6.92781546811398,18425
1976,"1976-03-09",3,10,69,6.31596091205212,18420
1976,"1976-03-16",3,11,76,4.46697063453292,18423
1976,"1976-03-23",3,12,83,6.10019539730786,18424
1976,"1976-03-30",3,13,90,1.35645660315909,18423
1976,"1976-04-06",4,14,97,0,18423
1976,"1976-04-13",4,15,104,0,18424
1976,"1976-04-20",4,16,111,0,18422
1977,"1976-12-16",12,51,351,5.80655666521928,18424
1977,"1976-12-23",12,52,358,8.12045380523287,18422
1977,"1976-12-30",12,53,365,19.6441174873772,18419
1977,"1977-01-06",1,1,6,26.4085653802312,18423
1977,"1977-01-12",1,2,12,23.0754614549403,18420
1977,"1977-01-19",1,3,19,31.2555652079487,18418
1977,"1977-01-26",1,4,26,36.766111080949,18419
1977,"1977-02-02",2,5,33,32.6772145028224,18424
1977,"1977-02-09",2,6,40,41.8238071975248,18423
1977,"1977-02-16",2,7,47,45.7201411509229,18420
1977,"1977-02-23",2,8,54,45.6008793356131,18423
1977,"1977-03-02",3,9,61,29.7638564681613,18421
1977,"1977-03-09",3,10,68,23.0265371465784,18427
1977,"1977-03-16",3,11,75,23.0092290988056,18420
1977,"1977-03-23",3,12,82,21.4038753799392,18424
1977,"1977-03-30",3,13,89,20.6439270595897,18426
1977,"1977-04-06",4,14,96,13.94284008251,18422
1977,"1977-04-13",4,15,103,11.0406036260992,18422
1977,"1977-04-20",4,16,110,9.23379654760612,18422
1977,"1977-04-27",4,17,117,5.37734824628081,18418
1977,"1977-05-04",5,18,124,4.79701492537313,18425
1978,"1977-12-21",12,51,355,5.37455216588861,18422
1978,"1977-12-28",12,52,362,9.12251655629139,18422
1978,"1978-01-04",1,1,4,9.18321936394226,18426
1978,"1978-01-11",1,2,11,11.8838219326819,18420
1978,"1978-01-18",1,3,18,23.9922922433914,18423
1978,"1978-01-25",1,4,25,14.7918475900999,18424
1978,"1978-02-01",2,5,32,27.5709864813508,18419
1978,"1978-02-08",2,6,39,24.4308126594647,18421
1978,"1978-02-15",2,7,46,56.6174474784214,18421
1978,"1978-02-22",2,8,53,49.0686753528773,18420
1978,"1978-03-01",3,9,60,45.898556231003,18424
1978,"1978-03-08",3,10,67,41.5862331035232,18421
1978,"1978-03-15",3,11,74,20.2846984747327,18423
1978,"1978-03-22",3,12,81,14.3206860988981,18423
1978,"1978-03-29",3,13,88,13.5815468113976,18425
1978,"1978-04-05",4,14,95,10.0048851978505,18423
1978,"1978-04-12",4,15,102,8.22673471603866,18418
1978,"1978-04-19",4,16,109,6.29526084360241,18421
1978,"1978-04-26",4,17,116,4.79726428920371,18423
1978,"1978-05-03",5,18,123,4.79699288932313,18423
1979,"1978-12-18",12,51,352,4.9438202247191,18423
1979,"1978-12-25",12,52,359,4.79751370718202,18421
1979,"1978-12-27",12,52,361,5.25294468870434,18423
1979,"1979-01-01",1,1,1,6.69941380807642,18424
1979,"1979-01-08",1,2,8,5.99218410768563,18424
1979,"1979-01-15",1,3,15,24.8463793290631,18422
1979,"1979-01-22",1,4,22,24.9090711687748,18421
1979,"1979-01-29",1,5,29,16.83051951577,18421
1979,"1979-02-05",2,6,36,32.4291454012379,18418
1979,"1979-02-12",2,7,43,57.9635258358663,18424
1979,"1979-02-19",2,8,50,82.5648680924981,18422
1979,"1979-02-26",2,9,57,21.880360438606,18422
1979,"1979-03-05",3,10,64,21.2332410573739,18423
1979,"1979-03-12",3,11,71,17.2194168431341,18417
1979,"1979-03-19",3,12,78,8.88472810159557,18426
1979,"1979-03-26",3,13,85,7.88552353036965,18423
1979,"1979-04-02",4,14,92,4.79726428920371,18423
1979,"1979-04-09",4,15,99,5.13516447725546,18422
1979,"1979-04-16",4,16,106,4.79674355495251,18425
1979,"1979-04-23",4,17,113,4.79699288932313,18423
1979,"1979-04-30",4,18,120,4.79750271444083,18420
1979,"1979-05-07",5,19,127,4.79724227783508,18421
1979,"1979-05-14",5,20,134,4.79699288932313,18423
1980,"1980-01-02",1,1,2,5.26081528524127,18423
1980,"1980-01-09",1,2,9,5.62153946368472,18422
1980,"1980-01-16",1,3,16,4.79725328411682,18422
1980,"1980-01-24",1,4,24,5.53993159237744,18419
1980,"1980-01-30",1,5,30,8.53370603560573,18424
1980,"1980-02-06",2,6,37,26.224351319075,18422
1980,"1980-02-13",2,7,44,33.3154209412148,18423
1980,"1980-02-20",2,8,51,12.6655808903366,18420
1980,"1980-02-27",2,9,58,24.5741966999566,18424
1980,"1980-03-05",3,10,65,25.6782651177939,18422
1980,"1980-03-12",3,11,72,11.8869768199338,18421
1980,"1980-03-19",3,12,79,13.0221510396873,18419
1980,"1980-03-26",3,13,86,12.9116912722536,18424
1980,"1980-04-02",4,14,93,6.53812754409769,18425
1980,"1980-04-09",4,15,100,4.79698186950385,18422
1980,"1980-04-16",4,16,107,4.79700390794616,18424
1981,"1980-12-24",12,52,359,5.14276408641841,18422
1981,"1981-01-07",1,1,7,46.9501139941374,18422
1981,"1981-01-14",1,2,14,40.0876621614286,18423
1981,"1981-01-21",1,3,21,26.8033543204516,18424
1981,"1981-01-28",1,4,28,19.0664350846722,18424
1981,"1981-02-04",2,5,35,18.563945282814,18422
1981,"1981-02-11",2,6,42,19.9397492265103,18423
1981,"1981-02-18",2,7,49,24.1953430308294,18424
1981,"1981-02-25",2,8,56,10.3439009825742,18421
1981,"1981-03-04",3,9,63,9.44233378561737,18425
1981,"1981-03-11",3,10,70,4.79674355495251,18425
1981,"1981-03-18",3,11,77,6.00873860182371,18424
1981,"1981-03-25",3,12,84,4.79726428920371,18423
1981,"1981-04-01",4,13,91,4.79674355495251,18425
1981,"1981-04-08",4,14,98,4.79699288932313,18423
1981,"1981-04-15",4,15,105,4.79752469872978,18422
1982,"1981-12-21",12,51,355,4.79698186950385,18422
1982,"1981-12-29",12,52,363,4.79700390794616,18424
1982,"1982-01-04",1,1,4,4.79726428920371,18423
1982,"1982-01-11",1,2,11,5.29202627150844,18423
1982,"1982-01-18",1,3,18,28.3021223470662,18423
1982,"1982-01-25",1,4,25,50.4578764520682,18422
1982,"1982-02-02",2,5,33,31.3647959183673,18424
1982,"1982-02-09",2,6,40,38.6660695869294,18423
1982,"1982-02-17",2,7,48,17.6644951140065,18420
1982,"1982-02-23",2,8,54,22.8874653927583,18421
1982,"1982-03-03",3,9,62,29.8968568481624,18421
1982,"1982-03-09",3,10,68,48.0968407339051,18422
1982,"1982-03-17",3,11,76,12.4009229098806,18420
1982,"1982-03-23",3,12,82,11.0446748452937,18422
1982,"1982-03-29",3,13,88,13.2654833631873,18423
1982,"1982-04-06",4,14,96,9.62407035448673,18421
1982,"1982-04-13",4,15,103,4.79861035718163,18422
1982,"1982-04-20",4,16,110,4.79700390794616,18424
1982,"1982-04-26",4,17,116,4.79859942456978,18421
1982,"1982-05-05",5,18,125,4.79861035718163,18422
1982,"1982-05-12",5,19,132,4.79859942456978,18421
1982,"1982-05-17",5,20,137,4.79887085391673,18421
1983,"1982-12-21",12,51,355,4.79724227783508,18421
1983,"1982-12-27",12,52,361,4.79884901460448,18419
1983,"1983-01-03",1,1,3,4.79778513652896,18421
1983,"1983-01-11",1,2,11,4.79808944854538,18424
1983,"1983-01-18",1,3,18,4.79834988872605,18423
1983,"1983-01-25",1,4,25,12.4626784647956,18421
1983,"1983-02-01",2,5,32,14.4011293300033,18418
1983,"1983-02-08",2,6,39,14.3396123988926,18421
1983,"1983-02-14",2,7,45,12.9278619117408,18423
1983,"1983-02-23",2,8,54,9.73202649869678,18416
1983,"1983-03-01",3,9,60,5.29336734693878,18424
1983,"1983-03-08",3,10,67,5.28334147532975,18423
1983,"1983-03-15",3,11,74,4.79700390794616,18424
1983,"1983-03-23",3,12,82,4.79646113764655,18424
1983,"1983-03-30",3,13,89,4.79699288932313,18423
1983,"1983-04-05",4,14,95,4.79698186950385,18422
1983,"1983-04-12",4,15,102,4.79833894256867,18422
1983,"1983-04-19",4,16,109,4.79912047342418,18419
1983,"1983-04-26",4,17,116,4.79884901460448,18419
1983,"1983-05-03",5,18,123,4.79884901460448,18419
1984,"1983-12-20",12,51,354,4.79701492537313,18425
1984,"1983-12-27",12,52,361,5.31808066004451,18423
1984,"1984-01-03",1,1,3,10.4517827101536,18427
1984,"1984-01-10",1,2,10,11.1497123005103,18422
1984,"1984-01-18",1,3,18,40.6451875576787,18421
1984,"1984-01-24",1,4,24,13.6159817599479,18421
1984,"1984-02-01",2,5,32,20.7376648754275,18423
1984,"1984-02-08",2,6,39,32.1273477364021,18422
1984,"1984-02-15",2,7,46,17.4099001302649,18424
1984,"1984-02-22",2,8,53,10.3345815695213,18426
1984,"1984-02-29",2,9,60,11.6217023124525,18422
1984,"1984-03-07",3,10,67,13.8380740419064,18422
1984,"1984-03-15",3,11,75,31.5353924655303,18422
1984,"1984-03-22",3,12,82,10.3257859586252,18417
1984,"1984-03-24",3,12,84,9.7294143190577,18423
1984,"1984-03-29",3,13,89,14.0500488546303,18422
1984,"1984-04-05",4,14,96,7.05521472392638,18419
1984,"1984-04-08",4,15,99,5.79217325227964,18424
1984,"1984-04-12",4,15,103,4.79675458591121,18426
1984,"1984-04-19",4,16,110,0,18422
1984,"1984-04-26",4,17,117,4.79725328411682,18422
1984,"1984-05-03",5,18,124,0,18421
1985,"1984-12-22",12,51,357,0,18425
1985,"1984-12-28",12,52,363,5.24720503636166,18426
1985,"1985-01-05",1,1,5,11.0311041146455,18422
1985,"1985-01-12",1,2,12,11.1171107613828,18427
1985,"1985-01-19",1,3,19,20.4161689651428,18418
1985,"1985-01-26",1,4,26,29.4387450469522,18423
1985,"1985-02-02",2,5,33,12.6572591587517,18425
1985,"1985-02-09",2,6,40,39.5638367169688,18422
1985,"1985-02-16",2,7,47,30.3867658234719,18422
1985,"1985-02-23",2,8,54,32.8194549994572,18422
1985,"1985-03-02",3,9,61,34.6857189382837,18423
1985,"1985-03-09",3,10,68,10.5984367366878,18423
1985,"1985-03-16",3,11,75,10.4160560169354,18423
1985,"1985-03-23",3,12,82,10.6114307425098,18424
1985,"1985-03-30",3,13,89,6.56253392682662,18422
1985,"1985-04-06",4,14,96,5.32844733984799,18420
1985,"1985-04-13",4,15,103,4.79673252279635,18424
1985,"1985-04-20",4,16,110,4.79724227783508,18421
1985,"1985-04-27",4,17,117,4.79751370718202,18421
1986,"1985-12-14",12,50,348,6.67218453188602,18425
1986,"1985-12-21",12,51,355,6.80266015200869,18420
1986,"1985-12-28",12,52,362,8.0544398610508,18424
1986,"1986-01-04",1,1,4,15.9982634178108,18427
1986,"1986-01-11",1,2,11,7.50556369755197,18423
1986,"1986-01-18",1,3,18,18.0665472507192,18423
1986,"1986-01-25",1,4,25,21.9627056077303,18421
1986,"1986-02-01",2,5,32,22.6623059385517,18422
1986,"1986-02-08",2,6,39,22.8757939308398,18421
1986,"1986-02-15",2,7,46,38.2469330148735,18422
1986,"1986-02-22",2,8,53,41.711090603116,18421
1986,"1986-03-01",3,9,60,42.8538081537376,18421
1986,"1986-03-08",3,10,67,34.993486402866,18423
1986,"1986-03-15",3,11,74,16.8482036253121,18426
1986,"1986-03-22",3,12,81,28.9572250569971,18422
1986,"1986-03-29",3,13,88,6.80362570560139,18424
1986,"1986-04-05",4,14,95,4.79675458591121,18426
1986,"1986-04-12",4,15,102,4.797491720506,18419
1986,"1986-04-19",4,16,109,0,18419
1986,"1986-04-23",4,17,113,0,18425
1987,"1986-12-27",12,52,361,4.79673252279635,18424
1987,"1987-01-03",1,1,3,0,18424
1987,"1987-01-10",1,2,10,0.557696482848459,18424
1987,"1987-01-17",1,3,17,0.482820387559029,18423
1987,"1987-01-24",1,4,24,5.99929416874796,18418
1987,"1987-02-01",2,5,32,7.44232126377504,18421
1987,"1987-02-07",2,6,38,6.108336951802,18424
1987,"1987-02-14",2,7,45,11.7572188449848,18424
1987,"1987-02-21",2,8,52,11.2545464415613,18421
1987,"1987-02-28",2,9,59,7.84384498480243,18424
1987,"1987-03-07",3,10,66,7.12296416938111,18420
1987,"1987-03-14",3,11,73,6.96140693698095,18423
1987,"1987-03-21",3,12,80,3.30881554662903,18422
1987,"1987-03-28",3,13,87,0,18425
1987,"1987-04-05",4,14,95,4.79673252279635,18424
1988,"1988-01-03",1,1,3,4.79673252279635,18424
1988,"1988-01-10",1,2,10,22.5818359481027,18421
1988,"1988-01-17",1,3,17,14.7652263597872,18422
1988,"1988-01-24",1,4,24,4.37384648789491,18422
1988,"1988-01-31",1,5,31,8.13161465400271,18425
1988,"1988-02-07",2,6,38,18.4742128121607,18420
1988,"1988-02-14",2,7,45,17.772833342378,18427
1988,"1988-02-21",2,8,52,16.7575856266623,18423
1988,"1988-02-28",2,9,59,21.5785330365384,18419
1988,"1988-03-06",3,10,66,16.8654326348931,18422
1988,"1988-03-13",3,11,73,14.8580270372984,18419
1988,"1988-03-20",3,12,80,12.0078163165608,18423
1988,"1988-03-27",3,13,87,10.1397861136746,18421
1988,"1988-04-03",4,14,94,6.67408533275432,18422
1988,"1988-04-10",4,15,101,4.85724366281279,18423
1988,"1988-04-17",4,16,108,0,18424
1989,"1988-12-14",12,50,349,0,18420
1989,"1988-12-16",12,51,351,0,18419
1989,"1988-12-19",12,51,354,0,18423
1989,"1988-12-21",12,51,356,0,18423
1989,"1988-12-23",12,52,358,0,18424
1989,"1988-12-25",12,52,360,4.79675458591121,18426
1989,"1988-12-26",12,52,361,0,18425
1989,"1988-12-28",12,52,363,0,18425
1989,"1988-12-30",12,53,365,0,18425
1989,"1989-01-01",1,1,1,5.35879064213212,18423
1989,"1989-01-02",1,1,2,0,18425
1989,"1989-01-04",1,1,4,0,18426
1989,"1989-01-06",1,1,6,0,18425
1989,"1989-01-08",1,2,8,5.88644012593638,18422
1989,"1989-01-09",1,2,9,0,18426
1989,"1989-01-11",1,2,11,1.04211897524967,18424
1989,"1989-01-13",1,2,13,1.3504125054277,18424
1989,"1989-01-15",1,3,15,5.78823082351664,18421
1989,"1989-01-16",1,3,16,1.51525018994899,18426
1989,"1989-01-18",1,3,18,1.65020084681359,18422
1989,"1989-01-20",1,3,20,2.1756595375095,18422
1989,"1989-01-22",1,4,22,5.36423841059603,18422
1989,"1989-01-23",1,4,23,2.11932034091526,18421
1989,"1989-01-25",1,4,25,3.65649766583433,18422
1989,"1989-01-27",1,4,27,2.84845853234911,18424
1989,"1989-01-29",1,5,29,7.41681593660099,18423
1989,"1989-01-30",1,5,30,3.99636324160017,18423
1989,"1989-02-01",2,5,32,3.62012810769732,18422
1989,"1989-02-03",2,5,34,2.1751872354282,18426
1989,"1989-02-05",2,6,36,8.42742373249376,18422
1989,"1989-02-06",2,6,37,3.04738384715588,18424
1989,"1989-02-08",2,6,39,4.53829868085337,18421
1989,"1989-02-10",2,6,41,5.32001520004343,18421
1989,"1989-02-12",2,7,43,7.30852738424795,18423
1989,"1989-02-13",2,7,44,5.62371078058843,18422
1989,"1989-02-15",2,7,46,5.89335142469471,18425
1989,"1989-02-17",2,7,48,10.6888128969223,18423
1989,"1989-02-19",2,8,50,11.5214677305542,18423
1989,"1989-02-20",2,8,51,9.09379579872985,18423
1989,"1989-02-22",2,8,53,7.94887103777681,18424
1989,"1989-02-24",2,8,55,7.68374769297579,18422
1989,"1989-02-26",2,9,57,12.1770166105743,18422
1989,"1989-02-27",2,9,58,9.92781546811397,18425
1989,"1989-03-01",3,9,60,8.84703072413419,18422
1989,"1989-03-03",3,9,62,7.50773573638782,18421
1989,"1989-03-05",3,10,64,9.79888177179459,18422
1989,"1989-03-06",3,10,65,6.57021877205363,18421
1989,"1989-03-08",3,10,67,11.764194984258,18422
1989,"1989-03-10",3,10,69,10.208751832347,18419
1989,"1989-03-12",3,11,71,20.1609226594301,18425
1989,"1989-03-13",3,11,72,11.8556617088264,18422
1989,"1989-03-15",3,11,74,9.56652733293524,18421
1989,"1989-03-17",3,11,76,6.40503718178364,18423
1989,"1989-03-19",3,12,78,17.9463655610445,18421
1989,"1989-03-20",3,12,79,7.75145198936112,18423
1989,"1989-03-22",3,12,81,7.4089354541013,18421
1989,"1989-03-24",3,12,83,7.47095548317047,18420
1989,"1989-03-26",3,13,85,6.89535388623535,18424
1989,"1989-03-27",3,13,86,7.0351267712688,18419
1989,"1989-03-29",3,13,88,5.07381676074685,18424
1989,"1989-03-31",3,13,90,2.78860244233379,18425
1989,"1989-04-02",4,14,92,7.19040121613551,18419
1989,"1989-04-03",4,14,93,2.67531480677377,18424
1989,"1989-04-05",4,14,95,1.59391965255157,18420
1989,"1989-04-07",4,14,97,0,18424
1989,"1989-04-09",4,15,99,5.06160442900565,18424
1989,"1989-04-10",4,15,100,0,18425
1989,"1989-04-12",4,15,102,0,18425
1989,"1989-04-14",4,15,104,0,18425
1989,"1989-04-16",4,16,106,4.79700390794616,18424
1989,"1989-04-17",4,16,107,0,18425
1989,"1989-04-19",4,16,109,0,18425
1989,"1989-04-21",4,16,111,0,18425
1989,"1989-04-23",4,17,113,4.79674355495251,18425
1989,"1989-04-24",4,17,114,0,18425
1989,"1989-04-26",4,17,116,0,18425
1989,"1989-04-28",4,17,118,0,18425
1989,"1989-04-30",4,18,120,4.79701492537313,18425
1989,"1989-05-01",5,18,121,0,18425
1989,"1989-05-03",5,18,123,0,18422
1989,"1989-05-05",5,18,125,0,18419
1989,"1989-05-08",5,19,128,0,18424
1990,"1989-12-13",12,50,347,0,18422
1990,"1989-12-15",12,50,349,1.69344333478072,18424
1990,"1989-12-17",12,51,351,15.2633007600434,18420
1990,"1989-12-18",12,51,352,1.74979647218453,18425
1990,"1989-12-20",12,51,354,1.71081198436822,18424
1990,"1989-12-22",12,51,356,3.34835242386407,18421
1990,"1989-12-24",12,52,358,25.0637962862417,18418
1990,"1989-12-25",12,52,359,4.31634370080877,18423
1990,"1989-12-27",12,52,361,8.14698219713417,18424
1990,"1989-12-29",12,52,363,7.73405698778833,18425
1990,"1989-12-31",12,53,365,29.329913694838,18423
1990,"1990-01-01",1,1,1,7.83202170963365,18425
1990,"1990-01-03",1,1,3,9.43346544329225,18419
1990,"1990-01-05",1,1,5,8.66796938609347,18423
1990,"1990-01-07",1,1,7,11.8257801899593,18425
1990,"1990-01-08",1,2,8,7.28787796536561,18421
1990,"1990-01-10",1,2,10,7.24203441350486,18423
1990,"1990-01-12",1,2,12,9.15567497150301,18423
1990,"1990-01-14",1,2,14,18.308815546629,18422
1990,"1990-01-16",1,3,16,8.69579375848033,18425
1990,"1990-01-17",1,3,17,12.1301775147929,18421
1990,"1990-01-19",1,3,19,11.0675712347354,18425
1990,"1990-01-21",1,3,21,19.0402779285637,18422
1990,"1990-01-22",1,4,22,10.6589231437256,18424
1990,"1990-01-24",1,4,24,10.7490230134607,18424
1990,"1990-01-26",1,4,26,7.04006297160849,18421
1990,"1990-01-28",1,4,28,11.9018671298307,18424
1990,"1990-01-29",1,5,29,5.51997394702562,18424
1990,"1990-01-31",1,5,31,5.38970907511941,18424
1990,"1990-02-02",2,5,33,5.70753948868262,18423
1990,"1990-02-04",2,5,35,19.7812635692575,18424
1990,"1990-02-05",2,6,36,10.7708175008142,18422
1990,"1990-02-07",2,6,38,12.8001193965049,18426
1990,"1990-02-09",2,6,40,12.4853452019106,18424
1990,"1990-02-11",2,6,42,14.3163437008088,18423
1990,"1990-02-12",2,7,43,7.8521012053426,18418
1990,"1990-02-14",2,7,45,4.65479808944855,18424
1990,"1990-02-16",2,7,47,8.12591587516961,18425
1990,"1990-02-18",2,7,49,18.945611463931,18423
1990,"1990-02-19",2,8,50,11.8999022907393,18422
1990,"1990-02-21",2,8,52,12.9573336228423,18422
1990,"1990-02-23",2,8,54,5.41546811397558,18425
1990,"1990-02-25",2,8,56,31.9912609238452,18423
1990,"1990-02-26",2,9,57,22.7019105514546,18424
1990,"1990-02-28",2,9,59,29.3953538862353,18424
1990,"1990-03-02",3,9,61,32.2104891687931,18419
1990,"1990-03-04",3,9,63,22.0677956901699,18423
1990,"1990-03-05",3,10,64,16.1732616837649,18423
1990,"1990-03-07",3,10,66,20.1497964721845,18425
1990,"1990-03-09",3,10,68,21.1269134730214,18422
1990,"1990-03-11",3,10,70,27.3371512322223,18422
1990,"1990-03-12",3,11,71,11.1827606795853,18423
1990,"1990-03-14",3,11,73,9.80677377333912,18424
1990,"1990-03-16",3,11,75,4.87730727470141,18420
1990,"1990-03-18",3,11,77,10.453509200456,18423
1990,"1990-03-19",3,12,78,4.55433720551514,18422
1990,"1990-03-21",3,12,80,4.52719574421887,18422
1990,"1990-03-23",3,12,82,2.49416490256744,18423
1990,"1990-03-25",3,12,84,7.2099462511537,18419
1990,"1990-03-26",3,13,85,4.34107685627442,18424
1990,"1990-03-28",3,13,87,2.42305813385442,18423
1990,"1990-03-30",3,13,89,1.8498615860609,18423
1990,"1990-04-01",4,13,91,5.54500054282923,18422
1990,"1990-04-02",4,14,92,1.8280503690838,18424
1990,"1990-04-04",4,14,94,1.00423406796222,18422
1990,"1990-04-06",4,14,96,0,18425
1990,"1990-04-08",4,14,98,5.52890094979647,18425
1990,"1990-04-09",4,15,99,0,18425
1990,"1990-04-11",4,15,101,0,18425
1990,"1990-04-13",4,15,103,0,18425
1990,"1990-04-15",4,15,105,5.41033434650456,18424
1990,"1990-04-16",4,16,106,0,18425
1990,"1990-04-18",4,16,108,0,18425
1990,"1990-04-20",4,16,110,0,18422
1990,"1990-04-22",4,16,112,4.79674355495251,18425
1990,"1990-04-23",4,17,113,0,18424
1990,"1990-04-25",4,17,115,0,18422
1990,"1990-04-27",4,17,117,0,18426
1991,"1990-12-28",12,52,362,0,18425
1991,"1990-12-30",12,52,364,0,18426
1991,"1991-01-02",1,1,2,0,18423
1991,"1991-01-04",1,1,4,0,18423
1991,"1991-01-06",1,1,6,8.23353781010803,18421
1991,"1991-01-07",1,1,7,1.84107685627442,18424
1991,"1991-01-09",1,2,9,4.50716456795484,18424
1991,"1991-01-11",1,2,11,4.27291971991532,18423
1991,"1991-01-13",1,2,13,12.5065146579805,18420
1991,"1991-01-14",1,2,14,8.81066116599718,18422
1991,"1991-01-16",1,3,16,6.82997665707616,18421
1991,"1991-01-18",1,3,18,6.55266015200869,18420
1991,"1991-01-20",1,3,20,7.86718410768563,18424
1991,"1991-01-21",1,3,21,6.27395103946154,18423
1991,"1991-01-23",1,4,23,8.27100521059488,18424
1991,"1991-01-25",1,4,25,9.3119639561394,18422
1991,"1991-01-27",1,4,27,11.3086902241763,18423
1991,"1991-01-28",1,4,28,9.95793073499077,18422
1991,"1991-01-30",1,5,30,9.1610118886054,18421
1991,"1991-02-01",2,5,32,11.2715774617305,18422
1991,"1991-02-03",2,5,34,12.8675712347354,18425
1991,"1991-02-04",2,5,35,10.8428796351593,18419
1991,"1991-02-06",2,6,37,6.25950054288816,18420
1991,"1991-02-08",2,6,39,4.48521031207598,18425
1991,"1991-02-10",2,6,41,8.29180915160397,18423
1991,"1991-02-11",2,6,42,4.90176923911864,18426
1991,"1991-02-13",2,7,44,4.20389772542207,18421
1991,"1991-02-15",2,7,46,7.6396352385605,18423
1991,"1991-02-17",2,7,48,15.9394169697628,18421
1991,"1991-02-18",2,7,49,8.09609120521173,18420
1991,"1991-02-20",2,8,51,7.67898822124518,18423
1991,"1991-02-22",2,8,53,4.71881446097058,18422
1991,"1991-02-24",2,8,55,12.6814308201704,18423
1991,"1991-02-25",2,8,56,7.60801128962223,18424
1991,"1991-02-27",2,9,58,6.54714727756365,18421
1991,"1991-03-01",3,9,60,9.10470039079462,18424
1991,"1991-03-03",3,9,62,9.41941262689322,18421
1991,"1991-03-04",3,9,63,5.54530155800445,18421
1991,"1991-03-06",3,10,65,3.06525161500461,18421
1991,"1991-03-08",3,10,67,2.42604353254085,18423
1991,"1991-03-10",3,10,69,7.89169381107492,18420
1991,"1991-03-11",3,10,70,4.17729764942186,18421
1991,"1991-03-13",3,11,72,3.28955223880597,18425
1991,"1991-03-15",3,11,74,3.14569536423841,18422
1991,"1991-03-17",3,11,76,6.27205124029745,18423
1991,"1991-03-18",3,11,77,2.91895119700342,18421
1991,"1991-03-20",3,12,79,1.94103594309914,18418
1991,"1991-03-22",3,12,81,0.240486401389718,18421
1991,"1991-03-24",3,12,83,6.1632830311584,18422
1991,"1991-03-25",3,12,84,0.564603691639522,18420
1991,"1991-03-27",3,13,86,0.825010855405992,18424
1991,"1991-03-29",3,13,88,0,18424
